Date,Year,Month,DayOfWeek,Total_Beds,Occupied_Beds,Flu_Cases,Emergencies,Staff_Available
2018-01-01,2018,1,Monday,1800,1102,461,142,158
2018-01-02,2018,1,Tuesday,1800,1435,306,471,171
2018-01-03,2018,1,Wednesday,1800,1270,450,177,278
2018-01-04,2018,1,Thursday,1800,1106,420,413,119
2018-01-05,2018,1,Friday,1800,1071,578,495,211
2018-01-06,2018,1,Saturday,1800,1700,421,449,158
2018-01-07,2018,1,Sunday,1800,1020,457,401,170
2018-01-08,2018,1,Monday,1800,1614,400,288,236
2018-01-09,2018,1,Tuesday,1800,1121,566,346,208
2018-01-10,2018,1,Wednesday,1800,1466,457,487,228
2018-01-11,2018,1,Thursday,1800,1214,548,315,256
2018-01-12,2018,1,Friday,1800,1330,424,475,290
2018-01-13,2018,1,Saturday,1800,1458,401,533,299
2018-01-14,2018,1,Sunday,1800,1087,425,569,155
2018-01-15,2018,1,Monday,1800,1372,435,476,295
2018-01-16,2018,1,Tuesday,1800,1099,382,267,134
2018-01-17,2018,1,Wednesday,1800,1663,399,438,222
2018-01-18,2018,1,Thursday,1800,1130,556,292,230
2018-01-19,2018,1,Friday,1800,1661,445,463,203
2018-01-20,2018,1,Saturday,1800,1308,552,516,106
2018-01-21,2018,1,Sunday,1800,1769,310,637,126
2018-01-22,2018,1,Monday,1800,1343,205,112,100
2018-01-23,2018,1,Tuesday,1800,1491,435,339,298
2018-01-24,2018,1,Wednesday,1800,1413,326,419,271
2018-01-25,2018,1,Thursday,1800,1385,303,246,186
2018-01-26,2018,1,Friday,1800,1191,436,405,140
2018-01-27,2018,1,Saturday,1800,1276,354,289,222
2018-01-28,2018,1,Sunday,1800,1160,456,573,174
2018-01-29,2018,1,Monday,1800,1459,434,142,141
2018-01-30,2018,1,Tuesday,1800,1313,488,188,216
2018-01-31,2018,1,Wednesday,1800,1021,239,247,260
2018-02-01,2018,2,Thursday,1800,1252,487,194,277
2018-02-02,2018,2,Friday,1800,1747,396,384,162
2018-02-03,2018,2,Saturday,1800,1560,472,224,264
2018-02-04,2018,2,Sunday,1800,1474,581,604,286
2018-02-05,2018,2,Monday,1800,1058,463,121,226
2018-02-06,2018,2,Tuesday,1800,1510,256,470,275
2018-02-07,2018,2,Wednesday,1800,1681,497,412,232
2018-02-08,2018,2,Thursday,1800,1475,297,427,147
2018-02-09,2018,2,Friday,1800,1699,336,162,102
2018-02-10,2018,2,Saturday,1800,1782,575,358,215
2018-02-11,2018,2,Sunday,1800,1189,286,614,274
2018-02-12,2018,2,Monday,1800,1686,441,213,289
2018-02-13,2018,2,Tuesday,1800,1562,398,371,198
2018-02-14,2018,2,Wednesday,1800,1566,509,182,215
2018-02-15,2018,2,Thursday,1800,1243,283,278,113
2018-02-16,2018,2,Friday,1800,1504,441,410,290
2018-02-17,2018,2,Saturday,1800,1130,480,565,211
2018-02-18,2018,2,Sunday,1800,1484,522,303,160
2018-02-19,2018,2,Monday,1800,1646,451,212,258
2018-02-20,2018,2,Tuesday,1800,1020,389,111,194
2018-02-21,2018,2,Wednesday,1800,1166,351,225,116
2018-02-22,2018,2,Thursday,1800,1273,501,152,223
2018-02-23,2018,2,Friday,1800,1387,477,554,123
2018-02-24,2018,2,Saturday,1800,1600,338,621,215
