date,service,day_of_week,is_weekend,is_holiday,vacation_flag,season,epidemic_flag,canicule_flag,plan_blanc_flag,admissions_urgent,admissions_programmed,discharges,beds_occupied,beds_available,staff_medecin,staff_chirurgien,staff_infirmier,staff_aide_soignant,staff_sage_femme,staff_psychologue,staff_admin,staff_astreinte,staff_global,medicaments_central,medicaments_service,epi_central,epi_service,materiel_chirurgical_central,materiel_chirurgical_service,equipements_biomedicaux_central,equipements_biomedicaux_service,produits_hygiene_central,produits_hygiene_service,produits_pharmaceutiques_central,produits_pharmaceutiques_service,vaccins_central,vaccins_service
2022-01-01,Urgences,Samedi,1,1,0,Hiver,1,0,0,30,0,8,29,21,4,1,9,3,1,0,1,9,19,30000,1116,20000,946,10000,400,120,16,10000,758,20000,910,6000,160
2022-01-01,Réanimation,Samedi,1,1,0,Hiver,1,0,0,14,0,4,24,6,3,0,11,4,0,1,0,4,19,30000,1356,20000,1172,10000,400,120,22,10000,784,20000,1153,6000,100
2022-01-01,Médecine Générale,Samedi,1,1,0,Hiver,1,0,0,3,2,11,26,54,6,0,6,4,1,1,0,8,18,30000,1285,20000,794,10000,200,120,16,10000,694,20000,1087,6000,200
2022-01-01,Chirurgie,Samedi,1,1,0,Hiver,1,0,0,2,5,1,12,48,1,6,8,5,1,0,1,4,22,30000,884,20000,792,10000,1195,120,20,10000,593,20000,785,6000,60
2022-01-01,Obstétrique,Samedi,1,1,0,Hiver,1,0,0,4,0,1,8,32,2,0,4,2,4,1,0,6,13,30000,792,20000,895,10000,300,120,16,10000,796,20000,693,6000,40
2022-01-01,Administration,Samedi,1,1,0,Hiver,1,0,0,0,0,0,0,0,0,1,0,1,1,1,9,5,13,30000,0,20000,0,10000,0,120,0,10000,0,20000,0,6000,0
2022-01-02,Urgences,Dimanche,1,0,0,Hiver,0,0,0,25,0,11,43,7,6,1,7,3,0,1,0,9,18,30000,794,20000,739,10000,400,119,1,10000,597,20000,565,6000,160
2022-01-02,Réanimation,Dimanche,1,0,0,Hiver,0,0,0,10,1,10,25,5,3,0,10,4,0,0,0,6,17,30000,1189,20000,1066,10000,400,119,15,10000,723,20000,975,6000,100
2022-01-02,Médecine Générale,Dimanche,1,0,0,Hiver,0,0,0,6,1,10,23,57,5,0,5,3,1,2,1,5,17,30000,1219,20000,768,10000,200,119,16,10000,668,20000,1030,6000,200
2022-01-02,Chirurgie,Dimanche,1,0,0,Hiver,0,0,0,3,5,3,17,43,2,5,7,3,1,0,0,1,18,30000,817,20000,759,10000,1175,119,20,10000,564,20000,723,6000,60
2022-01-02,Obstétrique,Dimanche,1,0,0,Hiver,0,0,0,0,0,0,8,32,3,0,6,2,4,1,1,8,17,30000,768,20000,880,10000,300,119,16,10000,784,20000,672,6000,40
2022-01-02,Administration,Dimanche,1,0,0,Hiver,0,0,0,0,0,0,0,0,1,1,0,1,1,0,11,6,15,30000,0,20000,0,10000,0,119,0,10000,0,20000,0,6000,0
2022-01-03,Urgences,Lundi,0,0,0,Hiver,1,0,0,31,0,18,50,0,4,0,7,5,1,1,1,1,19,30000,162,20000,333,10000,400,108,-14,10000,281,19897,-103,6000,160
2022-01-03,Réanimation,Lundi,0,0,0,Hiver,1,0,0,17,0,8,30,0,5,1,11,3,0,1,0,4,21,30000,854,20000,854,10000,400,107,1,10000,600,19897,619,6000,100
2022-01-03,Médecine Générale,Lundi,0,0,0,Hiver,1,0,0,12,6,7,34,46,7,0,6,3,0,1,0,1,17,30000,1042,20000,699,10000,200,107,16,10000,599,19897,878,6000,199
2022-01-03,Chirurgie,Lundi,0,0,0,Hiver,1,0,0,4,9,9,21,39,1,6,8,3,1,0,0,3,19,30000,665,20000,685,10000,1131,107,20,10000,499,19897,584,6000,60
2022-01-03,Obstétrique,Lundi,0,0,0,Hiver,1,0,0,1,3,2,10,30,3,0,4,4,5,2,0,2,18,30000,728,20000,855,10000,299,107,16,10000,764,19897,637,6000,40
2022-01-03,Administration,Lundi,0,0,0,Hiver,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,2,10,30000,0,20000,0,10000,0,107,0,10000,0,19897,0,6000,0
2022-01-04,Urgences,Mardi,0,0,0,Hiver,1,0,0,32,2,21,50,0,6,0,9,3,0,0,1,0,19,29381,-619,19717,-283,10000,400,93,-14,9791,-209,19295,-602,6000,160
2022-01-04,Réanimation,Mardi,0,0,0,Hiver,1,0,0,16,1,14,30,0,3,1,9,4,1,1,0,4,19,29381,146,19717,406,10000,400,78,-15,9791,340,19200,-95,6000,100
2022-01-04,Médecine Générale,Mardi,0,0,0,Hiver,1,0,0,7,5,13,33,47,7,0,5,4,0,0,0,0,16,29381,640,19717,542,10000,200,78,16,9791,442,19200,533,6000,195
2022-01-04,Chirurgie,Mardi,0,0,0,Hiver,1,0,0,1,10,6,26,34,2,6,7,5,1,1,0,0,22,29381,342,19717,527,10000,1034,78,20,9791,361,19200,288,6000,60
2022-01-04,Obstétrique,Mardi,0,0,0,Hiver,1,0,0,3,3,2,14,26,1,0,4,4,4,0,0,1,13,29381,628,19717,793,10000,295,78,16,9791,713,19200,550,6000,40
2022-01-04,Administration,Mardi,0,0,0,Hiver,1,0,0,0,0,0,0,0,0,1,0,0,1,1,9,0,12,29381,0,19717,0,10000,0,78,0,9791,0,19200,0,6000,0
2022-01-05,Urgences,Mercredi,0,0,0,Hiver,0,0,0,25,0,21,50,0,4,0,8,4,0,0,0,0,16,28711,-670,19172,-545,10000,400,65,-13,9356,-435,18625,-575,6000,160
2022-01-05,Réanimation,Mercredi,0,0,0,Hiver,0,0,0,9,0,10,29,1,4,0,10,4,1,2,1,5,22,28075,-636,18926,-246,10000,400,52,-13,9266,-90,17995,-630,6000,100
